mpnn,bb,seq,count,B1,B2,B3
v7,45,1,0,0,0,0
v7,45,2,0,0,0,0
v7,45,3,1,1,0,0
v7,45,4,0,0,0,0
v7,45,5,0,0,0,0
v7,45,6,0,0,0,0
v7,45,7,0,0,0,0
v7,45,8,1,0,1,0
v7,45,9,0,0,0,0
v7,46,0,2,0,2,0
v7,46,1,2,1,1,0
v7,46,2,1,1,0,0
v7,46,3,0,0,0,0
v7,46,4,0,0,0,0
v7,46,5,0,0,0,0
v7,46,6,0,0,0,0
v7,46,7,1,1,0,0
v7,46,8,1,0,0,1
v7,46,9,1,0,1,0
v7,47,0,3,3,0,0
v7,47,1,0,0,0,0
v7,47,2,2,0,1,1
v7,47,3,2,2,0,0
v7,47,4,2,2,0,0
v7,47,5,0,0,0,0
v7,47,6,2,0,2,0
v7,47,7,0,0,0,0
v7,47,8,4,2,1,1
v7,47,9,1,1,0,0
v7,48,0,2,1,0,1
v7,48,1,0,0,0,0
v7,48,2,1,1,0,0
v7,48,3,1,0,0,1
v7,48,4,1,0,1,0
v7,48,5,0,0,0,0
v7,48,6,0,0,0,0
v7,48,7,1,1,0,0
v7,48,8,0,0,0,0
v7,48,9,0,0,0,0
v7,49,0,0,0,0,0
v7,49,1,0,0,0,0
v7,49,2,0,0,0,0
v7,49,3,1,1,0,0
v7,49,4,1,0,1,0
v7,49,5,4,2,0,2
v7,49,6,0,0,0,0
v7,49,7,0,0,0,0
v7,49,8,0,0,0,0
v7,49,9,1,1,0,0
v7,50,0,2,0,2,0
v7,50,1,1,1,0,0
v7,50,2,0,0,0,0
v7,50,3,1,1,0,0
v7,50,4,0,0,0,0
v7,50,5,1,1,0,0
v7,50,6,2,0,2,0
v7,50,7,0,0,0,0
v7,50,8,1,1,0,0
v7,50,9,0,0,0,0
v7,51,0,0,0,0,0
v7,51,1,1,1,0,0
v7,51,2,1,1,0,0
v7,51,3,0,0,0,0
v7,51,4,2,0,1,1
v7,51,5,1,0,0,1
v7,51,6,0,0,0,0
v7,51,7,2,0,2,0
v7,51,8,1,0,1,0
v7,51,9,0,0,0,0
v7,52,0,0,0,0,0
v7,52,1,0,0,0,0
v7,52,2,3,2,1,0
v7,52,3,0,0,0,0
v7,52,4,1,1,0,0
v7,52,5,2,2,0,0
v7,52,6,0,0,0,0
v7,52,7,1,1,0,0
v7,52,8,1,0,1,0
v7,52,9,0,0,0,0
v7,53,0,1,0,1,0
v7,53,1,0,0,0,0
v7,53,2,2,1,1,0
v7,53,3,1,0,1,0
v7,53,4,3,2,0,1
v7,53,5,1,1,0,0
v7,53,6,0,0,0,0
v7,53,7,2,1,0,1
v7,53,8,0,0,0,0
v7,53,9,2,1,1,0
v7,54,0,0,0,0,0
v7,54,1,1,1,0,0
v7,54,2,0,0,0,0
v7,54,3,5,4,1,0
v7,54,4,1,1,0,0
v7,54,5,2,1,0,1
v7,54,6,1,1,0,0
v7,54,7,1,0,0,1
v7,54,8,1,0,0,1
v7,54,9,1,0,1,0
v7,55,0,1,1,0,0
v7,55,1,0,0,0,0
v7,55,2,0,0,0,0
v7,55,3,1,1,0,0
v7,55,4,3,2,1,0
v7,55,5,2,1,1,0
v7,55,6,1,1,0,0
v7,55,7,1,1,0,0
v7,55,8,0,0,0,0
v7,55,9,1,1,0,0
v7,56,0,2,1,1,0
v7,56,1,2,2,0,0
v7,56,2,0,0,0,0
v7,56,3,0,0,0,0
v7,56,4,2,2,0,0
v7,56,5,0,0,0,0
v7,56,6,2,0,2,0
v7,56,7,0,0,0,0
v7,56,8,1,0,0,1
v7,56,9,2,1,1,0
v7,57,0,0,0,0,0
v7,57,1,0,0,0,0
v7,57,2,0,0,0,0
v7,57,3,1,1,0,0
v7,57,4,1,1,0,0
v7,57,5,1,0,1,0
v7,57,6,2,1,0,1
v7,57,7,0,0,0,0
v7,57,8,0,0,0,0
v7,57,9,1,1,0,0
v7,58,0,0,0,0,0
v7,58,1,0,0,0,0
v7,58,2,2,1,0,1
v7,58,3,1,1,0,0
v7,58,4,1,1,0,0
v7,58,5,0,0,0,0
v7,58,6,1,0,1,0
v7,58,7,2,1,0,1
v7,58,8,1,1,0,0
v7,58,9,2,2,0,0
v7,59,0,3,2,0,1
v7,59,1,2,1,0,1
v7,59,2,0,0,0,0
v7,59,3,0,0,0,0
v7,59,4,0,0,0,0
v7,59,5,0,0,0,0
v7,59,6,3,1,0,2
v7,59,7,2,2,0,0
v7,59,8,2,1,0,1
v7,59,9,0,0,0,0
v7,60,0,3,2,0,1
v7,60,1,1,1,0,0
v7,60,2,2,0,2,0
v7,60,3,1,1,0,0
v7,60,4,3,2,0,1
v7,60,5,2,0,2,0
v7,60,6,0,0,0,0
v7,60,7,2,2,0,0
v7,60,8,0,0,0,0
v7,60,9,2,0,2,0
v7,61,0,0,0,0,0
v7,61,1,1,1,0,0
v7,61,2,2,0,2,0
v7,61,3,2,0,2,0
v7,61,4,2,1,1,0
v7,61,5,1,0,1,0
v7,61,6,1,0,1,0
v7,61,7,1,0,1,0
v7,61,8,1,1,0,0
v7,61,9,1,0,1,0
v7,62,0,1,0,0,1
v7,62,1,1,0,0,1
v7,62,2,1,1,0,0
v7,62,3,1,1,0,0
v7,62,4,1,1,0,0
v7,62,5,3,1,2,0
v7,62,6,0,0,0,0
