mpnn,bb,seq,count,B1,B2,B3
v2,64,0,0,0,0,0
v2,64,1,0,0,0,0
v2,64,2,0,0,0,0
v2,64,3,1,1,0,0
v2,64,4,1,1,0,0
v2,64,5,0,0,0,0
v2,64,6,0,0,0,0
v2,64,7,0,0,0,0
v2,64,8,1,1,0,0
v2,64,9,0,0,0,0
v2,65,0,2,2,0,0
v2,65,1,0,0,0,0
v2,65,2,0,0,0,0
v2,65,3,0,0,0,0
v2,65,4,0,0,0,0
v2,65,5,1,1,0,0
v2,65,6,1,1,0,0
v2,65,7,0,0,0,0
v2,65,8,0,0,0,0
v2,65,9,2,2,0,0
v2,66,0,1,1,0,0
v2,66,1,0,0,0,0
v2,66,2,0,0,0,0
v2,66,3,2,2,0,0
v2,66,4,0,0,0,0
v2,66,5,1,1,0,0
v2,66,6,0,0,0,0
v2,66,7,0,0,0,0
v2,66,8,1,1,0,0
v2,66,9,1,1,0,0
v2,67,0,0,0,0,0
v2,67,1,0,0,0,0
v2,67,2,0,0,0,0
v2,67,3,0,0,0,0
v2,67,4,0,0,0,0
v2,67,5,0,0,0,0
v2,67,6,0,0,0,0
v2,67,7,0,0,0,0
v2,67,8,1,1,0,0
v2,67,9,2,2,0,0
v2,68,0,0,0,0,0
v2,68,1,0,0,0,0
v2,68,2,1,1,0,0
v2,68,3,1,1,0,0
v2,68,4,0,0,0,0
v2,68,5,0,0,0,0
v2,68,6,0,0,0,0
v2,68,7,0,0,0,0
v2,68,8,2,2,0,0
v2,68,9,0,0,0,0
v2,69,0,0,0,0,0
v2,69,1,0,0,0,0
v2,69,2,0,0,0,0
v2,69,3,1,1,0,0
v2,69,4,3,3,0,0
v2,69,5,0,0,0,0
v2,69,6,0,0,0,0
v2,69,7,0,0,0,0
v2,69,8,0,0,0,0
v2,69,9,0,0,0,0
v2,70,0,0,0,0,0
v2,70,1,0,0,0,0
v2,70,2,0,0,0,0
v2,70,3,0,0,0,0
v2,70,4,0,0,0,0
v2,70,5,1,1,0,0
v2,70,6,3,3,0,0
v2,70,7,0,0,0,0
v2,70,8,1,1,0,0
v2,70,9,1,1,0,0
v2,71,0,1,1,0,0
v2,71,1,0,0,0,0
v2,71,2,0,0,0,0
v2,71,3,2,2,0,0
v2,71,4,2,2,0,0
v2,71,5,1,1,0,0
v2,71,6,2,2,0,0
v2,71,7,1,1,0,0
v2,71,8,0,0,0,0
v2,71,9,1,1,0,0
v2,72,0,1,1,0,0
v2,72,1,2,2,0,0
v2,72,2,3,3,0,0
v2,72,3,0,0,0,0
v2,72,4,0,0,0,0
v2,72,5,0,0,0,0
v2,72,6,0,0,0,0
v2,72,7,0,0,0,0
v2,72,8,0,0,0,0
v2,72,9,1,1,0,0
v2,73,0,0,0,0,0
v2,73,1,1,1,0,0
v2,73,2,0,0,0,0
v2,73,3,1,1,0,0
v2,73,4,0,0,0,0
v2,73,5,0,0,0,0
v2,73,6,0,0,0,0
v2,73,7,0,0,0,0
v2,73,8,1,1,0,0
v2,73,9,0,0,0,0
v2,74,0,1,1,0,0
v2,74,1,0,0,0,0
v2,74,2,0,0,0,0
v2,74,3,0,0,0,0
v2,74,4,0,0,0,0
v2,74,5,2,2,0,0
v2,74,6,1,1,0,0
v2,74,7,0,0,0,0
v2,74,8,0,0,0,0
v2,74,9,0,0,0,0
v2,75,0,0,0,0,0
v2,75,1,1,1,0,0
v2,75,2,0,0,0,0
v2,75,3,1,1,0,0
v2,75,4,1,1,0,0
v2,75,5,1,1,0,0
v2,75,6,1,1,0,0
v2,75,7,1,1,0,0
v2,75,8,0,0,0,0
v2,75,9,1,1,0,0
v2,76,0,0,0,0,0
v2,76,1,0,0,0,0
v2,76,2,0,0,0,0
v2,76,3,0,0,0,0
v2,76,4,0,0,0,0
v2,76,5,0,0,0,0
v2,76,6,0,0,0,0
v2,76,7,2,2,0,0
v2,76,8,0,0,0,0
v2,76,9,0,0,0,0
v2,77,0,1,1,0,0
v2,77,1,0,0,0,0
v2,77,2,0,0,0,0
v2,77,3,0,0,0,0
v2,77,4,1,1,0,0
v2,77,5,0,0,0,0
v2,77,6,0,0,0,0
v2,77,7,0,0,0,0
v2,77,8,1,1,0,0
v2,77,9,1,1,0,0
v2,78,0,1,1,0,0
v2,78,1,0,0,0,0
v2,78,2,0,0,0,0
